false,true
0.227545,0.772455
0.227545,0.772455
0.229541,0.770459
0.231537,0.768463
0.231537,0.768463
0.231537,0.768463
0.233533,0.766467
0.235529,0.764471
0.237525,0.762475
0.239521,0.760479
0.239521,0.760479
0.241517,0.758483
0.243513,0.756487
0.245509,0.754491
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.247505,0.752495
0.245509,0.754491
0.245509,0.754491
0.245509,0.754491
0.245509,0.754491
0.245509,0.754491
0.245509,0.754491
0.245509,0.754491
0.245509,0.754491
0.245509,0.754491
0.245509,0.754491
0.245509,0.754491
0.245509,0.754491
0.245509,0.754491
0.245509,0.754491
0.245509,0.754491
0.245509,0.754491
0.245509,0.754491
0.245509,0.754491
0.245509,0.754491
0.245509,0.754491
0.247505,0.752495
0.249501,0.750499
0.251497,0.748503
0.253493,0.746507
0.255489,0.744511
0.257485,0.742515
0.259481,0.740519
0.261477,0.738523
0.263473,0.736527
0.265469,0.734531
0.267465,0.732535
0.269461,0.730539
0.271457,0.728543
0.271457,0.728543
0.273453,0.726547
0.275449,0.724551
0.277445,0.722555
0.279441,0.720559
0.281437,0.718563
0.283433,0.716567
0.285429,0.714571
0.287425,0.712575
0.289421,0.710579
0.291417,0.708583
0.293413,0.706587
0.295409,0.704591
0.297405,0.702595
0.299401,0.700599
0.301397,0.698603
0.303393,0.696607
0.305389,0.694611
0.307385,0.692615
0.309381,0.690619
0.311377,0.688623
0.313373,0.686627
0.315369,0.684631
0.317365,0.682635
0.319361,0.680639
0.321357,0.678643
0.323353,0.676647
0.325349,0.674651
0.327345,0.672655
0.329341,0.670659
0.331337,0.668663
0.333333,0.666667
0.335329,0.664671
0.335329,0.664671
0.337325,0.662675
0.339321,0.660679
0.341317,0.658683
0.343313,0.656687
0.345309,0.654691
0.347305,0.652695
0.349301,0.650699
0.351297,0.648703
0.353293,0.646707
0.355289,0.644711
0.357285,0.642715
0.359281,0.640719
0.361277,0.638723
0.363273,0.636727
0.365269,0.634731
0.367265,0.632735
0.369261,0.630739
0.371257,0.628743
0.373253,0.626747
0.37525,0.62475
0.377246,0.622754
0.379242,0.620758
0.381238,0.618762
0.381238,0.618762
0.383234,0.616766
0.38523,0.61477
0.387226,0.612774
0.387226,0.612774
0.389222,0.610778
0.391218,0.608782
0.393214,0.606786
0.39521,0.60479
0.397206,0.602794
0.399202,0.600798
0.401198,0.598802
0.403194,0.596806
0.403194,0.596806
0.40519,0.59481
0.407186,0.592814
0.409182,0.590818
0.411178,0.588822
0.413174,0.586826
0.41517,0.58483
0.417166,0.582834
0.419162,0.580838
0.421158,0.578842
0.423154,0.576846
0.42515,0.57485
0.427146,0.572854
0.429142,0.570858
0.431138,0.568862
0.433134,0.566866
0.43513,0.56487
0.437126,0.562874
0.439122,0.560878
0.441118,0.558882
0.443114,0.556886
0.44511,0.55489
0.447106,0.552894
0.449102,0.550898
0.451098,0.548902
0.453094,0.546906
0.45509,0.54491
0.457086,0.542914
0.459082,0.540918
0.461078,0.538922
0.463074,0.536926
0.46507,0.53493
0.467066,0.532934
0.469062,0.530938
0.471058,0.528942
0.473054,0.526946
0.47505,0.52495
0.477046,0.522954
0.479042,0.520958
0.481038,0.518962
0.483034,0.516966
0.48503,0.51497
0.487026,0.512974
0.489022,0.510978
0.491018,0.508982
0.493014,0.506986
0.49501,0.50499
0.497006,0.502994
0.499002,0.500998
0.500998,0.499002
0.502994,0.497006
0.50499,0.49501
0.506986,0.493014
0.508982,0.491018
0.510978,0.489022
0.512974,0.487026
0.51497,0.48503
0.516966,0.483034
0.518962,0.481038
0.520958,0.479042
0.522954,0.477046
0.522954,0.477046
0.52495,0.47505
0.52495,0.47505
0.526946,0.473054
0.528942,0.471058
0.528942,0.471058
0.528942,0.471058
0.530938,0.469062
0.530938,0.469062
0.532934,0.467066
0.53493,0.46507
0.536926,0.463074
0.538922,0.461078
0.540918,0.459082
0.542914,0.457086
0.54491,0.45509
0.546906,0.453094
0.548902,0.451098
0.550898,0.449102
0.552894,0.447106
0.55489,0.44511
0.556886,0.443114
0.558882,0.441118
0.560878,0.439122
0.562874,0.437126
0.56487,0.43513
0.566866,0.433134
0.568862,0.431138
0.570858,0.429142
0.572854,0.427146
0.57485,0.42515
0.576846,0.423154
0.578842,0.421158
0.580838,0.419162
0.582834,0.417166
0.58483,0.41517
0.586826,0.413174
0.588822,0.411178
0.590818,0.409182
0.592814,0.407186
0.59481,0.40519
0.596806,0.403194
0.598802,0.401198
0.600798,0.399202
0.602794,0.397206
0.60479,0.39521
0.606786,0.393214
0.608782,0.391218
0.610778,0.389222
0.612774,0.387226
0.61477,0.38523
0.616766,0.383234
0.618762,0.381238
0.620758,0.379242
0.622754,0.377246
0.62475,0.37525
0.626747,0.373253
0.626747,0.373253
0.628743,0.371257
0.630739,0.369261
0.632735,0.367265
0.634731,0.365269
0.634731,0.365269
0.636727,0.363273
0.636727,0.363273
0.638723,0.361277
0.640719,0.359281
0.642715,0.357285
0.644711,0.355289
0.646707,0.353293
0.648703,0.351297
0.650699,0.349301
0.652695,0.347305
0.654691,0.345309
0.656687,0.343313
0.658683,0.341317
0.660679,0.339321
0.662675,0.337325
0.664671,0.335329
0.666667,0.333333
0.668663,0.331337
0.670659,0.329341
0.672655,0.327345
0.674651,0.325349
0.676647,0.323353
0.678643,0.321357
0.680639,0.319361
0.682635,0.317365
0.682635,0.317365
0.682635,0.317365
0.682635,0.317365
0.682635,0.317365
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.680639,0.319361
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.678643,0.321357
0.676647,0.323353
0.674651,0.325349
0.672655,0.327345
0.670659,0.329341
0.668663,0.331337
0.666667,0.333333
0.664671,0.335329
0.662675,0.337325
0.660679,0.339321
0.658683,0.341317
0.656687,0.343313
0.654691,0.345309
0.652695,0.347305
0.650699,0.349301
0.648703,0.351297
0.646707,0.353293
0.644711,0.355289
0.642715,0.357285
0.640719,0.359281
0.638723,0.361277
0.636727,0.363273
0.634731,0.365269
0.632735,0.367265
0.630739,0.369261
0.628743,0.371257
0.626747,0.373253
0.62475,0.37525
0.622754,0.377246
0.620758,0.379242
0.618762,0.381238
0.616766,0.383234
0.61477,0.38523
0.612774,0.387226
0.610778,0.389222
0.610778,0.389222
0.610778,0.389222
0.610778,0.389222
0.608782,0.391218
0.606786,0.393214
0.60479,0.39521
0.602794,0.397206
0.600798,0.399202
0.598802,0.401198
0.596806,0.403194
0.59481,0.40519
0.592814,0.407186
0.590818,0.409182
0.590818,0.409182
0.590818,0.409182
0.588822,0.411178
0.586826,0.413174
0.58483,0.41517
0.582834,0.417166
0.580838,0.419162
0.578842,0.421158
0.576846,0.423154
0.57485,0.42515
0.572854,0.427146
0.570858,0.429142
0.568862,0.431138
0.566866,0.433134
0.56487,0.43513
0.562874,0.437126
0.560878,0.439122
0.558882,0.441118
0.556886,0.443114
0.55489,0.44511
0.552894,0.447106
0.550898,0.449102
0.548902,0.451098
0.546906,0.453094
0.54491,0.45509
0.542914,0.457086
0.540918,0.459082
0.538922,0.461078
0.536926,0.463074
0.53493,0.46507
0.532934,0.467066
0.530938,0.469062
0.528942,0.471058
0.526946,0.473054
0.52495,0.47505
0.522954,0.477046
0.520958,0.479042
0.518962,0.481038
0.516966,0.483034
0.51497,0.48503
0.512974,0.487026
0.510978,0.489022
0.508982,0.491018
0.506986,0.493014
0.50499,0.49501
0.502994,0.497006
0.500998,0.499002
0.499002,0.500998
0.497006,0.502994
0.49501,0.50499
0.493014,0.506986
0.491018,0.508982
0.489022,0.510978
0.487026,0.512974
0.48503,0.51497
0.48503,0.51497
0.483034,0.516966
0.481038,0.518962
0.479042,0.520958
0.477046,0.522954
0.47505,0.52495
0.473054,0.526946
0.471058,0.528942
0.469062,0.530938
0.467066,0.532934
0.46507,0.53493
0.463074,0.536926
0.461078,0.538922
0.459082,0.540918
0.457086,0.542914
0.45509,0.54491
0.453094,0.546906
0.451098,0.548902
0.449102,0.550898
0.447106,0.552894
0.44511,0.55489
0.443114,0.556886
0.441118,0.558882
0.439122,0.560878
0.437126,0.562874
0.43513,0.56487
0.433134,0.566866
0.431138,0.568862
0.429142,0.570858
0.427146,0.572854
0.42515,0.57485
0.423154,0.576846
0.421158,0.578842
0.419162,0.580838
0.417166,0.582834
0.41517,0.58483
0.413174,0.586826
0.411178,0.588822
0.409182,0.590818
0.407186,0.592814
0.40519,0.59481
0.403194,0.596806
0.401198,0.598802
0.399202,0.600798
0.397206,0.602794
0.39521,0.60479
0.393214,0.606786
0.391218,0.608782
0.389222,0.610778
0.387226,0.612774
0.38523,0.61477
0.383234,0.616766
0.381238,0.618762
0.379242,0.620758
0.377246,0.622754
0.37525,0.62475
0.373253,0.626747
0.371257,0.628743
0.369261,0.630739
0.367265,0.632735
0.365269,0.634731
0.363273,0.636727
0.361277,0.638723
0.359281,0.640719
0.357285,0.642715
0.355289,0.644711
0.355289,0.644711
0.353293,0.646707
0.351297,0.648703
0.349301,0.650699
0.347305,0.652695
0.345309,0.654691
0.343313,0.656687
0.341317,0.658683
0.339321,0.660679
0.337325,0.662675
0.335329,0.664671
0.333333,0.666667
0.331337,0.668663
0.329341,0.670659
0.327345,0.672655
0.325349,0.674651
0.323353,0.676647
0.321357,0.678643
0.319361,0.680639
0.317365,0.682635
0.315369,0.684631
0.313373,0.686627
0.311377,0.688623
0.309381,0.690619
0.309381,0.690619
0.307385,0.692615
0.305389,0.694611
0.303393,0.696607
0.303393,0.696607
0.301397,0.698603
0.299401,0.700599
0.297405,0.702595
0.295409,0.704591
0.293413,0.706587
0.291417,0.708583
0.289421,0.710579
0.287425,0.712575
0.287425,0.712575
0.285429,0.714571
0.283433,0.716567
0.281437,0.718563
0.279441,0.720559
0.277445,0.722555
0.275449,0.724551
0.273453,0.726547
0.271457,0.728543
0.269461,0.730539
0.267465,0.732535
0.265469,0.734531
0.263473,0.736527
0.261477,0.738523
0.259481,0.740519
0.257485,0.742515
0.255489,0.744511
0.253493,0.746507
0.251497,0.748503
0.249501,0.750499
0.247505,0.752495
0.245509,0.754491
0.243513,0.756487
0.241517,0.758483
0.239521,0.760479
0.237525,0.762475
0.235529,0.764471
0.233533,0.766467
0.231537,0.768463
0.229541,0.770459
0.227545,0.772455
0.225549,0.774451
0.223553,0.776447
0.221557,0.778443
0.219561,0.780439
0.217565,0.782435
0.215569,0.784431
0.213573,0.786427
0.211577,0.788423
0.209581,0.790419
0.207585,0.792415
0.205589,0.794411
0.203593,0.796407
0.201597,0.798403
0.199601,0.800399
0.197605,0.802395
0.195609,0.804391
0.193613,0.806387
0.191617,0.808383
0.189621,0.810379
0.187625,0.812375
0.185629,0.814371
0.183633,0.816367
0.181637,0.818363
0.179641,0.820359
0.177645,0.822355
0.175649,0.824351
0.173653,0.826347
0.171657,0.828343
0.169661,0.830339
0.167665,0.832335
0.167665,0.832335
0.165669,0.834331
0.165669,0.834331
0.163673,0.836327
0.161677,0.838323
0.161677,0.838323
0.161677,0.838323
0.159681,0.840319
0.157685,0.842315
0.155689,0.844311
0.153693,0.846307
0.151697,0.848303
0.149701,0.850299
0.147705,0.852295
0.145709,0.854291
0.143713,0.856287
0.141717,0.858283
0.139721,0.860279
0.137725,0.862275
0.135729,0.864271
0.133733,0.866267
0.131737,0.868263
0.129741,0.870259
0.127745,0.872255
0.125749,0.874251
0.123752,0.876248
0.121756,0.878244
0.11976,0.88024
0.117764,0.882236
0.115768,0.884232
0.113772,0.886228
0.111776,0.888224
0.10978,0.89022
0.107784,0.892216
0.105788,0.894212
0.103792,0.896208
0.101796,0.898204
0.0998004,0.9002
0.0978044,0.902196
0.0958084,0.904192
0.0938124,0.906188
0.0918164,0.908184
0.0898204,0.91018
0.0878244,0.912176
0.0858283,0.914172
0.0838323,0.916168
0.0818363,0.918164
0.0798403,0.92016
0.0778443,0.922156
0.0758483,0.924152
0.0738523,0.926148
0.0718563,0.928144
0.0698603,0.93014
0.0678643,0.932136
0.0658683,0.934132
0.0638723,0.936128
0.0618762,0.938124
0.0598802,0.94012
0.0578842,0.942116
0.0558882,0.944112
0.0538922,0.946108
0.0518962,0.948104
0.0499002,0.9501
0.0479042,0.952096
0.0459082,0.954092
0.0439122,0.956088
0.0419162,0.958084
0.0399202,0.96008
0.0379242,0.962076
0.0359281,0.964072
0.0339321,0.966068
0.0319361,0.968064
0.0299401,0.97006
0.0279441,0.972056
0.0259481,0.974052
0.0239521,0.976048
0.0219561,0.978044
0.0199601,0.98004
0.0179641,0.982036
0.0159681,0.984032
0.0139721,0.986028
0.0139721,0.986028
0.011976,0.988024
0.00998004,0.99002
0.00798403,0.992016
0.00598802,0.994012
0.00399202,0.996008
0.00199601,0.998004
0.00199601,0.998004
0.00199601,0.998004
0.00199601,0.998004
0.00199601,0.998004
0.00199601,0.998004
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00399202,0.996008
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00598802,0.994012
0.00798403,0.992016
0.00798403,0.992016
0.00798403,0.992016
0.00998004,0.99002
0.011976,0.988024
0.011976,0.988024
0.011976,0.988024
0.011976,0.988024
0.011976,0.988024
0.011976,0.988024
0.011976,0.988024
0.011976,0.988024
0.011976,0.988024
0.011976,0.988024
0.011976,0.988024
0.011976,0.988024
0.011976,0.988024
0.011976,0.988024
0.011976,0.988024
0.011976,0.988024
0.011976,0.988024
0.011976,0.988024
0.011976,0.988024
0.011976,0.988024
0.011976,0.988024
0.011976,0.988024
0.0139721,0.986028
0.0159681,0.984032
0.0179641,0.982036
0.0199601,0.98004
0.0219561,0.978044
0.0239521,0.976048
0.0259481,0.974052
0.0279441,0.972056
0.0299401,0.97006
0.0319361,0.968064
0.0339321,0.966068
0.0359281,0.964072
0.0379242,0.962076
0.0399202,0.96008
0.0419162,0.958084
0.0439122,0.956088
0.0459082,0.954092
0.0479042,0.952096
0.0499002,0.9501
0.0518962,0.948104
0.0538922,0.946108
0.0558882,0.944112
0.0578842,0.942116
0.0598802,0.94012
0.0618762,0.938124
0.0638723,0.936128
0.0658683,0.934132
0.0678643,0.932136
0.0698603,0.93014
0.0718563,0.928144
0.0738523,0.926148
0.0758483,0.924152
0.0778443,0.922156
0.0798403,0.92016
0.0818363,0.918164
0.0838323,0.916168
0.0858283,0.914172
0.0878244,0.912176
0.0898204,0.91018
0.0918164,0.908184
0.0938124,0.906188
0.0958084,0.904192
0.0978044,0.902196
0.0998004,0.9002
0.101796,0.898204
0.103792,0.896208
0.105788,0.894212
0.107784,0.892216
0.10978,0.89022
0.111776,0.888224
0.113772,0.886228
0.115768,0.884232
0.117764,0.882236
0.11976,0.88024
0.121756,0.878244
0.123752,0.876248
0.125749,0.874251
0.127745,0.872255
0.129741,0.870259
0.131737,0.868263
0.133733,0.866267
0.135729,0.864271
0.137725,0.862275
0.139721,0.860279
0.141717,0.858283
0.143713,0.856287
0.145709,0.854291
0.147705,0.852295
0.149701,0.850299
0.151697,0.848303
0.153693,0.846307
0.155689,0.844311
0.157685,0.842315
0.159681,0.840319
0.161677,0.838323
0.163673,0.836327
0.165669,0.834331
0.167665,0.832335
0.169661,0.830339
0.171657,0.828343
0.173653,0.826347
0.175649,0.824351
0.177645,0.822355
0.179641,0.820359
0.181637,0.818363
0.181637,0.818363
0.183633,0.816367
0.185629,0.814371
0.187625,0.812375
0.187625,0.812375
0.189621,0.810379
0.189621,0.810379
0.191617,0.808383
0.193613,0.806387
0.195609,0.804391
0.197605,0.802395
0.199601,0.800399
0.201597,0.798403
0.203593,0.796407
0.205589,0.794411
0.207585,0.792415
0.209581,0.790419
0.211577,0.788423
0.213573,0.786427
0.215569,0.784431
0.217565,0.782435
0.219561,0.780439
0.221557,0.778443
0.223553,0.776447
0.225549,0.774451
0.227545,0.772455
0.229541,0.770459
0.231537,0.768463
0.231537,0.768463
0.233533,0.766467
